id,firstName,lastName,gender,vip,country
1,Kody,Bashirian,Female,false,US
2,Oliver,Wilkinson,Female,true,Georgia
3,Graciela,Schultz,Female,false,Georgia
4,Rico,Walsh,Male,false,Germany
5,Arvid,Ortiz,Male,true,US
6,Tracy,Hills,Female,false,Germany
7,Merle,West,Female,false,Georgia
8,Webster,Pacocha,Female,true,Germany
9,Dedric,Upton,Male,true,UK
10,Raymundo,King,Female,false,US
11,Carlie,Erdman,Male,true,UK
12,Mozelle,Kuvalis,Male,true,Georgia
13,Marietta,Daniel,Male,true,Georgia
14,Bennie,Kutch,Female,false,UK
15,Kiara,Thompson,Female,true,UK
16,Torrey,Harber,Female,false,Georgia
17,Sammy,Tremblay,Male,true,Georgia
18,Lambert,Adams,Female,true,Germany
19,Joy,Ward,Male,true,US
20,Trevion,Reinger,Male,false,Georgia
21,Bernice,Mante,Male,true,UK
22,Myra,Larson,Female,false,US
23,Marquise,Cremin,Male,true,US
24,Mable,Wolff,Female,false,Germany
25,Katherine,Runolfsdottir,Female,true,Germany
26,Geraldine,Reinger,Male,true,UK
27,Scottie,Flatley,Female,false,UK
28,Cecile,Streich,Male,true,Georgia
29,Lenna,Wisoky,Male,false,US
30,Alford,Franecki,Female,true,UK
31,Otis,Pagac,Male,false,UK
32,Clement,Goodwin,Female,true,UK
33,Broderick,Wunsch,Female,true,Germany
34,Howard,Crist,Male,false,Georgia
35,Cary,Bartoletti,Male,true,Georgia
36,Grover,Price,Male,true,Germany
37,Bria,Robel,Male,false,UK
38,Brant,Pfeffer,Male,false,UK
39,Marlene,Stroman,Female,true,UK
40,Darrin,Dibbert,Male,true,US
41,Abigale,Kunze,Female,true,UK
42,Bernhard,Kessler,Female,false,UK
43,Lyric,Turner,Male,true,Georgia
44,Adelia,Gusikowski,Female,true,Georgia
45,Lacey,Satterfield,Male,false,US
46,Providenci,Cronin,Female,false,Germany
47,Buster,Senger,Female,true,Georgia
48,Delaney,Lynch,Female,false,Georgia
49,Tressie,Douglas,Female,true,Georgia
50,Alek,Upton,Male,true,UK
